;;;;;;;;;;;;
PLAYER_ID;FULL_NAME;AGE;WEIGHT;HEIGHT;BMI;HIGH_JUMP;RIGHT_UNIPODAL_JUMP;LEFT_UNIPODAL_JUMP;BIPODAL_JUMP;30_MTS_TIME;1000_MTS_TIME;POSITION
1;P01;24;84.4;1.74;27.87686616;0.45;1.64;1.57;1.99;4.48;250;PIVOT
2;P02;26;81.6;1.79;25.46736993;0.35;1.46;1.32;1.7;4.85;317;FIXO
3;P03;19;65.2;1.71;22.29745905;0.48;1.84;2.12;2.33;4.3;228;WINGER
4;P04;20;64.4;1.64;23.9440809;0.44;1.86;1.68;2.03;4.52;236;WINGER
5;P05;21;86.5;1.69;30.28605441;0.34;1.35;1.38;1.68;4.95;263;PIVOT
6;P06;19;78.7;1.74;25.99418681;0.4;1.67;1.54;1.98;4.51;267;FIXO
7;P07;23;88.9;1.76;28.69963843;0.44;1.71;1.59;2.15;4.45;266;WINGER
8;P08;19;61.6;1.65;22.62626263;0.43;1.94;1.9;2.23;4.29;226;WINGER
9;P09;19;65.5;1.66;23.76977791;0.49;1.65;1.6;2.17;4.32;266;GOALKEEPER
10;P10;19;66.6;1.76;21.50051653;0.62;1.92;2.13;2.45;4.32;245;WINGER
11;P11;20;109.3;1.68;38.72590703;0.46;1.49;1.73;2.17;4.67;315;GOALKEEPER
12;P12;19;78.6;1.79;24.53106957;0.64;1.88;2.06;2.42;4.2;229;WINGER
